               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.093083,            0.042033,           0.0078389,             0.38142,             0.47532,              0.3356,            0.077268,            0.083892,            0.037457,           0.0054831,          0.00072998,          0.00072998,             0.09343
                  37,            0.094297,            0.042493,           0.0087345,              0.3813,             0.44293,             0.33663,              0.0768,            0.082206,            0.037545,           0.0051643,          0.00074998,          0.00074998,             0.09325
                  38,            0.091178,            0.040079,           0.0075654,             0.37823,              0.4161,             0.32843,            0.076623,            0.083897,            0.036924,           0.0048665,          0.00076998,          0.00076998,             0.09307
                  39,            0.088663,            0.035782,           0.0066971,             0.43892,             0.39863,             0.36808,            0.087995,            0.081684,            0.037331,           0.0046301,          0.00078997,          0.00078997,             0.09289
                  40,            0.087678,            0.037979,           0.0059246,             0.38148,             0.43995,             0.36498,            0.097495,            0.079585,            0.037798,           0.0045071,          0.00080997,          0.00080997,             0.09271
                  41,            0.088779,            0.045606,           0.0071965,             0.44136,              0.4206,             0.37805,            0.097034,            0.084338,            0.036794,           0.0042305,          0.00082997,          0.00082997,             0.09253
                  42,             0.08603,            0.044008,           0.0063706,             0.47963,             0.49279,             0.42285,             0.10264,             0.07656,            0.038528,           0.0040691,          0.00084997,          0.00084997,             0.09235
                  43,             0.08862,            0.046949,           0.0064797,             0.41364,             0.45186,             0.36914,             0.09483,            0.086584,            0.037389,           0.0038604,          0.00086996,          0.00086996,             0.09217
                  44,            0.084183,            0.043076,           0.0057213,             0.45781,             0.44095,              0.3851,              0.1176,            0.079768,            0.038983,            0.003778,          0.00088996,          0.00088996,             0.09199
                  45,            0.086699,            0.044045,           0.0069629,             0.50648,             0.46113,             0.41399,             0.11303,            0.082296,            0.038816,           0.0035564,          0.00090996,          0.00090996,             0.09181
                  46,            0.082639,            0.043062,           0.0054694,             0.38416,             0.66876,              0.4209,             0.11158,            0.080419,            0.039485,           0.0035049,          0.00092996,          0.00092996,             0.09163
                  47,            0.082669,             0.04462,           0.0055358,             0.47222,             0.45499,             0.38835,             0.13884,            0.083155,            0.040096,           0.0033206,          0.00094995,          0.00094995,             0.09145
                  48,            0.079362,            0.051214,            0.005883,             0.40792,             0.57616,             0.39386,             0.14608,            0.072849,             0.04299,           0.0032259,          0.00096995,          0.00096995,             0.09127
                  49,            0.076213,            0.041159,           0.0046342,             0.44899,             0.62302,             0.41365,             0.15937,            0.077635,            0.041965,           0.0030688,          0.00098995,          0.00098995,             0.09109
                  50,            0.081169,            0.045995,           0.0049913,             0.47931,             0.51973,             0.42299,             0.14778,            0.076122,            0.043265,           0.0029549,           0.0010099,           0.0010099,             0.09091
                  51,            0.083186,            0.039758,           0.0040426,             0.36927,             0.69326,             0.41343,             0.15454,            0.093547,            0.039126,           0.0028482,           0.0010299,           0.0010299,             0.09073
                  52,            0.089235,            0.037833,           0.0039737,             0.53331,             0.53472,             0.47053,             0.17204,            0.086081,            0.039361,           0.0028334,           0.0010499,           0.0010499,             0.09055
                  53,            0.081319,            0.045844,           0.0046852,             0.35137,             0.58408,             0.38693,             0.14693,            0.082718,            0.039632,            0.002832,           0.0010699,           0.0010699,             0.09037
                  54,            0.087548,            0.042241,           0.0055471,             0.34416,             0.65284,             0.41424,             0.16676,            0.073574,            0.039928,           0.0027952,           0.0010899,           0.0010899,             0.09019
                  55,            0.085347,            0.039257,           0.0052877,             0.24835,             0.47689,             0.31857,            0.092042,            0.099778,            0.034091,           0.0026009,           0.0011099,           0.0011099,             0.09001
                  56,            0.084504,             0.04093,           0.0047053,             0.32703,              0.6808,             0.42503,             0.12501,            0.068558,            0.038036,           0.0026482,           0.0011299,           0.0011299,             0.08983
                  57,            0.079441,               0.039,           0.0036978,             0.43432,             0.57913,             0.47025,             0.14594,            0.080189,            0.038047,            0.002545,           0.0011499,           0.0011499,             0.08965
                  58,            0.082381,            0.041118,           0.0039228,              0.4847,             0.49636,             0.41888,             0.12298,            0.083087,            0.037698,           0.0024705,           0.0011699,           0.0011699,             0.08947
                  59,            0.082256,            0.036301,           0.0038134,             0.53794,              0.4459,             0.46393,             0.16325,            0.075736,            0.037868,           0.0024988,           0.0011899,           0.0011899,             0.08929
                  60,            0.081283,            0.037292,           0.0038337,             0.35813,             0.80392,             0.45421,             0.13288,            0.075564,            0.038243,           0.0024701,           0.0012099,           0.0012099,             0.08911
                  61,            0.082677,            0.042184,           0.0034937,             0.60898,             0.54709,              0.5347,             0.13273,             0.08198,            0.037388,           0.0023595,           0.0012299,           0.0012299,             0.08893
                  62,            0.081604,            0.040463,           0.0041156,             0.48245,             0.57015,             0.47745,             0.17795,            0.070656,            0.038663,           0.0024005,           0.0012499,           0.0012499,             0.08875
                  63,            0.076962,            0.040456,           0.0037624,             0.46885,             0.66509,             0.50089,             0.17423,             0.06699,            0.038333,           0.0023806,           0.0012699,           0.0012699,             0.08857
                  64,              0.0786,            0.039098,           0.0036999,             0.36207,             0.47059,             0.42037,             0.18141,            0.086206,            0.032986,           0.0023196,           0.0012899,           0.0012899,             0.08839
                  65,            0.085783,             0.03517,           0.0028544,             0.21148,              0.4734,              0.2513,            0.051356,            0.087742,            0.032598,           0.0023554,           0.0013099,           0.0013099,             0.08821
                  66,            0.080625,            0.041437,            0.003845,             0.56177,             0.74737,             0.63088,             0.20437,            0.064551,            0.038926,           0.0023694,           0.0013299,           0.0013299,             0.08803
                  67,            0.077517,            0.034126,           0.0032555,             0.35697,             0.44048,             0.38496,             0.11981,            0.085087,            0.030882,           0.0022294,           0.0013499,           0.0013499,             0.08785
                  68,            0.082105,            0.031243,           0.0029642,             0.49637,             0.70868,             0.55145,             0.17901,             0.06902,            0.037269,            0.002226,           0.0013699,           0.0013699,             0.08767
                  69,            0.072233,              0.0416,           0.0034301,             0.48441,             0.70226,             0.57336,             0.14297,            0.070565,            0.034722,           0.0021323,           0.0013899,           0.0013899,             0.08749
                  70,            0.075075,            0.035859,           0.0026463,             0.68669,             0.54674,             0.59004,             0.24651,            0.075246,            0.035219,           0.0020751,           0.0014098,           0.0014098,             0.08731
                  71,            0.076025,            0.039339,            0.002981,             0.32985,             0.48297,             0.40926,            0.090709,            0.065539,            0.037683,           0.0020555,           0.0014298,           0.0014298,             0.08713
                  72,            0.074232,            0.039204,           0.0030378,             0.45032,             0.49142,              0.4974,             0.20595,            0.083463,            0.034359,           0.0020394,           0.0014498,           0.0014498,             0.08695
                  73,            0.081022,             0.03501,           0.0028367,             0.62858,             0.80164,             0.72356,             0.25276,            0.077918,            0.031691,           0.0020915,           0.0014698,           0.0014698,             0.08677
                  74,            0.079206,             0.03579,           0.0025616,             0.42092,             0.48275,             0.43516,             0.12189,            0.074852,             0.03265,           0.0020125,           0.0014898,           0.0014898,             0.08659
                  75,            0.074032,            0.034755,           0.0027909,             0.68326,             0.72059,             0.70944,             0.28585,            0.064613,            0.038778,           0.0020584,           0.0015098,           0.0015098,             0.08641
                  76,            0.072919,            0.037194,           0.0029177,             0.29993,             0.44118,             0.30865,            0.070009,            0.088582,            0.029268,           0.0019034,           0.0015298,           0.0015298,             0.08623
                  77,            0.086647,            0.034068,           0.0027895,             0.28897,             0.63095,             0.39279,             0.10509,            0.088067,            0.030389,           0.0019885,           0.0015498,           0.0015498,             0.08605
                  78,            0.084456,            0.035758,           0.0030958,             0.35011,             0.61012,             0.47588,             0.24738,            0.070888,            0.030267,           0.0019761,           0.0015698,           0.0015698,             0.08587
