id,name,rating,photo,positions,photoFolderIndex,shortName
158023,Lionel Messi,94,./data/images/photos/0/158023.png,"['ATT', 'BU', 'AD']",0,Messi
176580,Luis Suárez,92,./data/images/photos/3/176580.png,['BU'],3,Suárez
205192,Denis Suárez,80,./data/images/photos/3/205192.png,"['MC', 'MG', 'MD']",3,Suárez
213846,Cristián Suárez,71,./data/images/photos/4/213846.png,"['DC', 'DG']",4,Suárez
20801,Cristiano Ronaldo,94,./data/images/photos/1/20801.png,"['AG', 'BU']",1,Ronaldo
190871,Neymar,92,./data/images/photos/2/190871.png,['AG'],2,Neymar
167495,Manuel Neuer,92,./data/images/photos/4/167495.png,['G'],4,Neuer
192985,Kevin De Bruyne,91,./data/images/photos/1/192985.png,"['MOC', 'MC']",1,Bruyne
188545,Robert Lewandowski,91,./data/images/photos/2/188545.png,['BU'],2,Lewandowski
183277,Eden Hazard,91,./data/images/photos/3/183277.png,"['AG', 'ATT']",3,Hazard
182521,Toni Kroos,90,./data/images/photos/4/182521.png,"['MC', 'MDC']",4,Kroos
